real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
1,36.54,146160.0,8553840.0,4.2e-06,1.0,1,2024-01
2,35.926128,143704.512,8410135.488,4.2e-06,1.0,1,2024-02
3,35.3225690496,141290.27619839998,8268845.2118016,4.2e-06,1.0,1,2024-03
4,34.72914988956671,138916.59955826684,8129928.612243333,4.2e-06,1.0,1,2024-04
5,34.14570017142199,136582.80068568798,7993345.811557645,4.2e-06,1.0,1,2024-05
6,33.572052408542106,134288.20963416842,7859057.601923477,4.2e-06,1.0,1,2024-06
7,33.0080419280786,132032.1677123144,7727025.434211163,4.2e-06,1.0,1,2024-07
8,32.45350682368688,129814.02729474752,7597211.406916415,4.2e-06,1.0,1,2024-08
9,31.90828790904894,127633.15163619576,7469578.25528022,4.2e-06,1.0,1,2024-09
10,31.37222867217692,125488.91468870768,7344089.340591513,4.2e-06,1.0,1,2024-10
11,30.84517523048435,123380.7009219374,7220708.639669575,4.2e-06,1.0,1,2024-11
12,30.32697628661221,121307.90514644884,7099400.734523126,4.2e-06,1.0,1,2024-12
13,29.817483084997125,119269.9323399885,6980130.802183137,4.2e-06,1.0,1,2025-01
14,29.316549369169174,117266.1974766767,6862864.604706461,4.2e-06,1.0,1,2025-02
15,28.82403133976713,115296.12535906852,6747568.479347392,4.2e-06,1.0,1,2025-03
16,28.339787613259045,113359.15045303619,6634209.328894356,4.2e-06,1.0,1,2025-04
17,2.7863679181356296,11145.471672542519,6623063.857221814,4.2e-06,0.1,2,2025-05
18,2.781686820033162,11126.747280132648,6611937.109941681,4.2e-06,0.1,2,2025-05
19,2.777013586175506,11108.054344702025,6600829.055596979,4.2e-06,0.1,1,2025-06
20,2.772348203350731,11089.392813402923,6589739.662783576,4.2e-06,0.1,2,2025-07
21,2.767690658369102,11070.762633476408,6578668.9001501,4.2e-06,0.1,2,2025-07
22,2.763040938063042,11052.163752252169,6567616.7363978475,4.2e-06,0.1,2,2025-08
23,2.758399029287096,11033.596117148385,6556583.140280699,4.2e-06,0.1,2,2025-08
24,16.52258951350736,66090.35805402944,6490492.78222667,4.2e-06,0.6,1,2025-09
25,16.356041811211206,65424.16724484482,6425068.6149818245,4.2e-06,0.6,2,2025-10
26,16.191172909754197,64764.69163901679,6360303.923342808,4.2e-06,0.6,2,2025-10
27,2.671327647803979,10685.310591215917,6349618.612751592,4.2e-06,0.1,2,2025-11
28,2.666839817355669,10667.359269422675,6338951.2534821695,4.2e-06,0.1,2,2025-11
29,2.6623595264625113,10649.438105850046,6328301.815376319,4.2e-06,0.1,3,2025-12
30,2.6578867624580536,10631.547049832214,6317670.268326486,4.2e-06,0.1,3,2025-12
31,2.653421512697124,10613.686050788496,6307056.582275698,4.2e-06,0.1,3,2025-12
32,15.893782587334755,63575.13034933902,6243481.451926359,4.2e-06,0.6,1,2026-01
33,26.222622098090707,104890.48839236282,6138590.963533997,4.2e-06,1.0,1,2026-02
34,2.5782082046842785,10312.832818737113,6128278.130715259,4.2e-06,0.1,2,2026-03
35,2.5738768149004088,10295.507259601634,6117982.623455658,4.2e-06,0.1,2,2026-03
36,2.569552701851376,10278.210807405503,6107704.412648252,4.2e-06,0.1,1,2026-04
37,2.565235853312266,10260.943413249064,6097443.469235003,4.2e-06,0.1,3,2026-05
38,2.5609262570787013,10243.705028314806,6087199.764206688,4.2e-06,0.1,3,2026-05
39,2.556623900966809,10226.495603867235,6076973.268602821,4.2e-06,0.1,3,2026-05
40,2.5523287728131847,10209.315091252738,6066763.953511569,4.2e-06,0.1,4,2026-06
41,2.548040860474859,10192.163441899434,6056571.7900696695,4.2e-06,0.1,4,2026-06
42,2.543760151829261,10175.040607317043,6046396.749462352,4.2e-06,0.1,4,2026-06
43,2.5394866347741876,10157.94653909675,6036238.802923256,4.2e-06,0.1,4,2026-06
44,2.535220297227767,10140.881188911068,6026097.921734344,4.2e-06,0.1,4,2026-07
45,2.5309611271284247,10123.8445085137,6015974.07722583,4.2e-06,0.1,4,2026-07
46,2.526709112434849,10106.836449739396,6005867.240776091,4.2e-06,0.1,4,2026-07
47,2.522464241125958,10089.856964503833,5995777.3838115875,4.2e-06,0.1,4,2026-07
48,15.109359007205198,60437.43602882079,5935339.947782767,4.2e-06,0.6,2,2026-08
49,14.957056668412571,59828.226673650286,5875511.721109116,4.2e-06,0.6,2,2026-08
50,24.677149228658287,98708.59691463315,5776803.124194483,4.2e-06,1.0,2,2026-09
51,24.26257312161683,97050.29248646731,5679752.831708016,4.2e-06,1.0,2,2026-09
52,23.854961893173666,95419.84757269466,5584332.984135321,4.2e-06,1.0,1,2026-10
53,23.45419853336835,93816.79413347339,5490516.190001848,4.2e-06,1.0,2,2026-11
54,23.06016799800776,92240.67199203104,5398275.518009817,4.2e-06,1.0,2,2026-11
55,2.267275717564123,9069.10287025649,5389206.415139561,4.2e-06,0.1,3,2026-12
56,2.2634666943586152,9053.866777434461,5380152.548362127,4.2e-06,0.1,3,2026-12
57,2.259664070312093,9038.656281248372,5371113.892080878,4.2e-06,0.1,3,2026-12
58,2.255867834673969,9023.471338695876,5362090.420742182,4.2e-06,0.1,2,2027-01
59,2.2520779767117163,9008.311906846866,5353082.108835335,4.2e-06,0.1,2,2027-01
60,9.742609438080308,38970.43775232123,5314111.6710830135,4.2e-06,0.43333333333333335,2,2027-02
61,9.671683241371085,38686.73296548434,5275424.938117529,4.2e-06,0.43333333333333335,2,2027-02
62,9.601273387373903,38405.093549495614,5237019.844568034,4.2e-06,0.43333333333333335,2,2027-03
63,9.53137611711382,38125.504468455285,5198894.340099579,4.2e-06,0.43333333333333335,2,2027-03
64,20.379665813190346,81518.66325276138,5117375.676846817,4.2e-06,0.9333333333333333,1,2027-04
65,20.06011265323952,80240.45061295808,5037135.226233859,4.2e-06,0.9333333333333333,2,2027-05
66,19.745570086836725,78982.2803473469,4958152.945886511,4.2e-06,0.9333333333333333,2,2027-05
67,2.0824242372723347,8329.696949089339,4949823.248937422,4.2e-06,0.1,3,2027-06
68,2.0789257645537176,8315.70305821487,4941507.545879208,4.2e-06,0.1,3,2027-06
69,2.075433169269267,8301.732677077067,4933205.813202131,4.2e-06,0.1,3,2027-06
70,2.071946441544895,8287.78576617958,4924918.027435951,4.2e-06,0.1,5,2027-07
71,2.0684655715230993,8273.862286092397,4916644.165149858,4.2e-06,0.1,5,2027-07
72,2.0649905493629404,8259.962197451761,4908384.202952406,4.2e-06,0.1,5,2027-07
73,2.0615213652400106,8246.085460960043,4900138.117491446,4.2e-06,0.1,5,2027-07
74,2.058058009346407,8232.23203738563,4891905.8854540605,4.2e-06,0.1,5,2027-07
75,2.0546004718907054,8218.40188756282,4883687.483566497,4.2e-06,0.1,3,2027-08
76,2.051148743097929,8204.594972391717,4875482.888594106,4.2e-06,0.1,3,2027-08
77,2.0477028132095243,8190.811252838097,4867292.077341268,4.2e-06,0.1,3,2027-08
78,2.0442626724833324,8177.0506899333295,4859115.026651335,4.2e-06,0.1,5,2027-09
79,2.0408283111935606,8163.313244774242,4850951.713406561,4.2e-06,0.1,5,2027-09
80,2.037399719630755,8149.598878523021,4842802.114528038,4.2e-06,0.1,5,2027-09
81,2.0339768881017757,8135.907552407103,4834666.2069756305,4.2e-06,0.1,5,2027-09
82,2.0305598069297646,8122.239227719058,4826543.967747912,4.2e-06,0.1,5,2027-09
83,2.027148466454123,8108.593865816491,4818435.373882095,4.2e-06,0.1,7,2027-10
84,2.02374285703048,8094.971428121919,4810340.402453973,4.2e-06,0.1,7,2027-10
85,2.0203429690306685,8081.371876122674,4802259.0305778505,4.2e-06,0.1,7,2027-10
86,2.016948792842697,8067.795171370788,4794191.23540648,4.2e-06,0.1,7,2027-10
87,2.0135603188707214,8054.241275482886,4786136.994130997,4.2e-06,0.1,7,2027-10
88,2.010177537535019,8040.710150140076,4778096.283980857,4.2e-06,0.1,7,2027-10
89,2.00680043927196,8027.20175708784,4770069.082223768,4.2e-06,0.1,7,2027-10
90,2.0034290145339826,8013.71605813593,4762055.366165632,4.2e-06,0.1,6,2027-11
91,2.0000632537895657,8000.253015158263,4754055.113150474,4.2e-06,0.1,6,2027-11
92,1.9967031475231989,7986.812590092795,4746068.300560381,4.2e-06,0.1,6,2027-11
93,1.9933486862353602,7973.394744941441,4738094.90581544,4.2e-06,0.1,6,2027-11
94,1.989999860442485,7959.99944176994,4730134.90637367,4.2e-06,0.1,6,2027-11
95,1.9866566606769416,7946.626642707766,4722188.279730963,4.2e-06,0.1,6,2027-11
96,1.9833190774870042,7933.276309948017,4714255.003421014,4.2e-06,0.1,8,2027-12
97,1.9799871014368258,7919.948405747303,4706335.055015267,4.2e-06,0.1,8,2027-12
98,1.976660723106412,7906.642892425648,4698428.412122841,4.2e-06,0.1,8,2027-12
99,1.973339933091593,7893.359732366373,4690535.052390475,4.2e-06,0.1,8,2027-12
100,1.9700247220039993,7880.098888015997,4682654.9535024585,4.2e-06,0.1,8,2027-12
101,1.9667150804710325,7866.86032188413,4674788.0931805745,4.2e-06,0.1,8,2027-12
102,1.9634109991358413,7853.643996543365,4666934.449184031,4.2e-06,0.1,8,2027-12
103,1.960112468657293,7840.449874629172,4659093.999309402,4.2e-06,0.1,8,2027-12
104,0.9784097398549744,3913.6389594198977,4655180.360349982,2.1e-06,0.1,7,2028-01
105,0.9775878756734961,3910.3515026939845,4651270.008847288,2.1e-06,0.1,7,2028-01
106,0.9767667018579304,3907.0668074317214,4647362.942039856,2.1e-06,0.1,7,2028-01
107,0.9759462178283697,3903.7848713134786,4643459.157168542,2.1e-06,0.1,7,2028-01
108,0.9751264230053938,3900.505692021575,4639558.65147652,2.1e-06,0.1,7,2028-01
109,0.9743073168100692,3897.229267240277,4635661.42220928,2.1e-06,0.1,7,2028-01
110,0.9734888986639487,3893.955594655795,4631767.466614624,2.1e-06,0.1,7,2028-01
111,3.404349087961748,13617.396351846992,4618150.070262777,2.1e-06,0.35,6,2028-02
112,3.3943403016431404,13577.361206572561,4604572.709056204,2.1e-06,0.35,6,2028-02
113,3.3843609411563094,13537.443764625237,4591035.265291579,2.1e-06,0.35,6,2028-02
114,3.3744109199893098,13497.643679957238,4577537.621611622,2.1e-06,0.35,6,2028-02
115,3.364490151884542,13457.960607538167,4564079.661004084,2.1e-06,0.35,6,2028-02
116,3.354598550838001,13418.394203352005,4550661.266800732,2.1e-06,0.35,6,2028-02
117,1.9795376510583187,7918.150604233275,4542743.116196499,2.1e-06,0.20714285714285718,8,2028-03
118,1.9760932555454773,7904.37302218191,4534838.743174317,2.1e-06,0.20714285714285718,8,2028-03
119,1.9726548532808283,7890.619413123313,4526948.123761194,2.1e-06,0.20714285714285718,8,2028-03
120,1.9692224338361195,7876.889735344478,4519071.234025849,2.1e-06,0.20714285714285718,8,2028-03
121,1.9657959868012445,7863.183947204978,4511208.050078644,2.1e-06,0.20714285714285718,8,2028-03
122,1.9623755017842106,7849.502007136843,4503358.548071507,2.1e-06,0.20714285714285718,8,2028-03
123,1.9589609684111058,7835.843873644423,4495522.704197863,2.1e-06,0.20714285714285718,8,2028-03
124,1.9555523763260705,7822.209505304282,4487700.494692558,2.1e-06,0.20714285714285718,8,2028-03
125,0.9424171038854372,3769.668415541749,4483930.826277017,2.1e-06,0.1,8,2028-04
126,0.9416254735181735,3766.501894072694,4480164.324382944,2.1e-06,0.1,8,2028-04
127,0.9408345081204182,3763.338032481673,4476400.986350463,2.1e-06,0.1,8,2028-04
128,0.9400442071335973,3760.176828534389,4472640.809521928,2.1e-06,0.1,8,2028-04
129,0.9392545699996049,3757.0182799984195,4468883.79124193,2.1e-06,0.1,8,2028-04
130,0.9384655961608053,3753.862384643221,4465129.928857286,2.1e-06,0.1,8,2028-04
131,0.9376772850600301,3750.7091402401206,4461379.219717046,2.1e-06,0.1,8,2028-04
132,0.9368896361405796,3747.5585445623187,4457631.661172484,2.1e-06,0.1,8,2028-04
133,2.1062309599039986,8424.923839615994,4449206.737332868,2.1e-06,0.225,7,2028-05
134,2.1022501833897804,8409.000733559122,4440797.736599309,2.1e-06,0.225,7,2028-05
135,2.0982769305431734,8393.107722172694,4432404.628877137,2.1e-06,0.225,7,2028-05
136,2.094311187144447,8377.244748577787,4424027.384128559,2.1e-06,0.225,7,2028-05
137,2.090352939000744,8361.411756002975,4415665.972372556,2.1e-06,0.225,7,2028-05
138,2.0864021719460326,8345.60868778413,4407320.363684772,2.1e-06,0.225,7,2028-05
139,2.0824588718410544,8329.835487364218,4398990.528197408,2.1e-06,0.225,7,2028-05
140,2.078523024573275,8314.0920982931,4390676.436099115,2.1e-06,0.225,8,2028-06
141,2.0745946160568316,8298.378464227326,4382378.057634887,2.1e-06,0.225,8,2028-06
142,2.0706736322324844,8282.694528929936,4374095.363105957,2.1e-06,0.225,8,2028-06
143,2.0667600590675645,8267.040236270259,4365828.322869687,2.1e-06,0.225,8,2028-06
144,2.062853882555927,8251.415530223709,4357576.907339464,2.1e-06,0.225,8,2028-06
145,2.0589550887178967,8235.820354871586,4349341.0869845925,2.1e-06,0.225,8,2028-06
146,2.0550636636002197,8220.254654400878,4341120.8323301915,2.1e-06,0.225,8,2028-06
147,2.0511795932760153,8204.71837310406,4332916.1139570875,2.1e-06,0.225,8,2028-06
148,2.0473028638447235,8189.211455378894,4324726.902501709,2.1e-06,0.225,7,2028-07
149,2.0434334614320573,8173.733845728229,4316553.16865598,2.1e-06,0.225,7,2028-07
150,2.0395713721899504,8158.285488759801,4308394.88316722,2.1e-06,0.225,7,2028-07
151,2.0357165822965113,8142.866329186045,4300252.016838035,2.1e-06,0.225,7,2028-07
152,2.0318690779559714,8127.476311823885,4292124.54052621,2.1e-06,0.225,7,2028-07
153,2.028028845398634,8112.115381594536,4284012.425144616,2.1e-06,0.225,7,2028-07
154,2.0241958708808307,8096.783483523323,4275915.641661093,2.1e-06,0.225,7,2028-07
155,2.020370140684866,8081.480562739464,4267834.161098354,2.1e-06,0.225,8,2028-08
