real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
1,36.54,146160.0,8553840.0,4.2e-06,1.0,1,2024-01
2,35.926128,143704.512,8410135.488,4.2e-06,1.0,1,2024-02
3,35.3225690496,141290.27619839998,8268845.2118016,4.2e-06,1.0,1,2024-03
4,34.72914988956671,138916.59955826684,8129928.612243333,4.2e-06,1.0,1,2024-04
5,34.14570017142199,136582.80068568798,7993345.811557645,4.2e-06,1.0,1,2024-05
6,33.572052408542106,134288.20963416842,7859057.601923477,4.2e-06,1.0,1,2024-06
7,33.0080419280786,132032.1677123144,7727025.434211163,4.2e-06,1.0,1,2024-07
8,32.45350682368688,129814.02729474752,7597211.406916415,4.2e-06,1.0,1,2024-08
9,31.90828790904894,127633.15163619576,7469578.25528022,4.2e-06,1.0,1,2024-09
10,31.37222867217692,125488.91468870768,7344089.340591513,4.2e-06,1.0,1,2024-10
11,30.84517523048435,123380.7009219374,7220708.639669575,4.2e-06,1.0,1,2024-11
12,30.32697628661221,121307.90514644884,7099400.734523126,4.2e-06,1.0,1,2024-12
13,29.817483084997125,119269.9323399885,6980130.802183137,4.2e-06,1.0,1,2025-01
14,29.316549369169174,117266.1974766767,6862864.604706461,4.2e-06,1.0,1,2025-02
15,28.82403133976713,115296.12535906852,6747568.479347392,4.2e-06,1.0,1,2025-03
16,2.8339787613259046,11335.915045303618,6736232.564302089,4.2e-06,0.1,2,2025-04
17,2.829217677006877,11316.870708027509,6724915.693594061,4.2e-06,0.1,2,2025-04
18,2.8244645913095052,11297.85836523802,6713617.835228823,4.2e-06,0.1,2,2025-05
19,2.8197194907961056,11278.877963184423,6702338.957265639,4.2e-06,0.1,2,2025-05
20,16.889894172309408,67559.57668923763,6634779.380576401,4.2e-06,0.6,1,2025-06
21,27.86607339842088,111464.29359368353,6523315.086982718,4.2e-06,1.0,1,2025-07
22,2.7397923365327412,10959.169346130964,6512355.917636586,4.2e-06,0.1,2,2025-08
23,2.735189485407366,10940.757941629463,6501415.159694957,4.2e-06,0.1,2,2025-08
24,2.7305943670718817,10922.377468287526,6490492.782226669,4.2e-06,0.1,3,2025-09
25,2.7260069685352004,10904.027874140802,6479588.754352528,4.2e-06,0.1,3,2025-09
26,2.7214272768280616,10885.709107312246,6468703.045245215,4.2e-06,0.1,3,2025-09
27,2.7168552790029903,10867.421116011961,6457835.624129203,4.2e-06,0.1,2,2025-10
28,2.712290962134265,10849.16384853706,6446986.460280666,4.2e-06,0.1,2,2025-10
29,2.70773431331788,10830.93725327152,6436155.523027395,4.2e-06,0.1,3,2025-11
30,2.7031853196715057,10812.741278686022,6425342.781748709,4.2e-06,0.1,3,2025-11
31,2.698643968334458,10794.575873337832,6414548.205875372,4.2e-06,0.1,3,2025-11
32,16.164661478805932,64658.64591522373,6349889.559960148,4.2e-06,0.6,1,2025-12
33,24.891567075043778,99566.26830017511,6250323.291659974,4.2e-06,0.9333333333333333,2,2026-01
34,24.501267303307095,98005.06921322839,6152318.222446745,4.2e-06,0.9333333333333333,2,2026-01
35,2.5839736534276327,10335.89461371053,6141982.327833035,4.2e-06,0.1,2,2026-02
36,2.5796325776898748,10318.5303107595,6131663.797522276,4.2e-06,0.1,2,2026-02
37,2.5752987949593558,10301.195179837423,6121362.602342438,4.2e-06,0.1,3,2026-03
38,2.5709722929838237,10283.889171935294,6111078.713170502,4.2e-06,0.1,3,2026-03
39,2.566653059531611,10266.612238126443,6100812.1009323755,4.2e-06,0.1,3,2026-03
40,2.5623410823915975,10249.36432956639,6090562.736602809,4.2e-06,0.1,4,2026-04
41,2.5580363493731797,10232.145397492719,6080330.591205317,4.2e-06,0.1,4,2026-04
42,2.553738848306233,10214.955393224931,6070115.635812092,4.2e-06,0.1,4,2026-04
43,2.5494485670410785,10197.794268164314,6059917.841543928,4.2e-06,0.1,4,2026-04
44,2.5451654934484496,10180.661973793798,6049737.179570134,4.2e-06,0.1,3,2026-05
45,2.540889615419456,10163.558461677823,6039573.621108456,4.2e-06,0.1,3,2026-05
46,2.5366209208655515,10146.483683462206,6029427.137424993,4.2e-06,0.1,3,2026-05
47,8.863257892014738,35453.031568058956,5993974.105856935,4.2e-06,0.35,3,2026-06
48,8.811141935609692,35244.56774243877,5958729.538114496,4.2e-06,0.35,3,2026-06
49,8.759332421028308,35037.32968411323,5923692.208430382,4.2e-06,0.35,3,2026-06
50,24.879507275407605,99518.02910163041,5824174.179328752,4.2e-06,1.0,1,2026-07
51,24.461531553180755,97846.12621272301,5726328.053116029,4.2e-06,1.0,1,2026-08
52,2.4050577823087322,9620.23112923493,5716707.8219867945,4.2e-06,0.1,2,2026-09
53,2.401017285234454,9604.069140937816,5707103.752845856,4.2e-06,0.1,2,2026-09
54,2.3969835761952596,9587.934304781038,5697515.818541075,4.2e-06,0.1,3,2026-10
55,2.3929566437872514,9571.826575149005,5687943.991965926,4.2e-06,0.1,3,2026-10
56,2.388936476625689,9555.745906502756,5678388.246059423,4.2e-06,0.1,3,2026-10
57,14.309538380069744,57238.153520278975,5621150.092539145,4.2e-06,0.6,1,2026-11
58,23.608830388664405,94435.32155465762,5526714.770984487,4.2e-06,1.0,1,2026-12
59,23.21220203813484,92848.80815253936,5433865.962831947,4.2e-06,1.0,1,2027-01
60,22.822237043894177,91288.9481755767,5342577.0146563705,4.2e-06,1.0,1,2027-02
61,22.438823461556755,89755.29384622702,5252821.720810143,4.2e-06,1.0,1,2027-03
62,22.0618512274026,88247.4049096104,5164574.3159005325,4.2e-06,1.0,1,2027-04
63,2.1691212126782236,8676.484850712894,5155897.8310498195,4.2e-06,0.1,2,2027-05
64,2.165477089040924,8661.908356163696,5147235.922693656,4.2e-06,0.1,2,2027-05
65,2.161839087531335,8647.356350125341,5138588.56634353,4.2e-06,0.1,1,2027-06
66,2.1582071978642823,8632.828791457128,5129955.737552073,4.2e-06,0.1,2,2027-07
67,2.1545814097718705,8618.325639087481,5121337.411912985,4.2e-06,0.1,2,2027-07
68,2.1509617130034537,8603.846852013816,5112733.565060971,4.2e-06,0.1,1,2027-08
69,12.884088583953647,51536.35433581458,5061197.210725157,4.2e-06,0.6,1,2027-09
70,2.125702828504566,8502.811314018263,5052694.399411138,4.2e-06,0.1,2,2027-10
71,2.1221316477526777,8488.52659101071,5044205.872820128,4.2e-06,0.1,2,2027-10
72,2.1185664665844537,8474.265866337815,5035731.6069537895,4.2e-06,0.1,1,2027-11
73,12.690043649523549,50760.17459809419,4984971.432355695,4.2e-06,0.6,1,2027-12
74,1.046844000794696,4187.376003178784,4980784.056352517,2.1e-06,0.1,2,2028-01
75,1.0459646518340284,4183.858607336114,4976600.197745181,2.1e-06,0.1,2,2028-01
76,1.045086041526488,4180.344166105952,4972419.853579075,2.1e-06,0.1,2,2028-02
77,1.0442081692516056,4176.832677006422,4968243.020902068,2.1e-06,0.1,2,2028-02
78,6.259986206336605,25039.94482534642,4943203.076076722,2.1e-06,0.6,1,2028-03
79,6.228435875856669,24913.74350342668,4918289.332573295,2.1e-06,0.6,2,2028-04
80,6.19704455904235,24788.178236169402,4893501.154337125,2.1e-06,0.6,2,2028-04
81,6.165811454464776,24663.245817859104,4868837.908519266,2.1e-06,0.6,1,2028-05
82,10.224559607890457,40898.238431561826,4827939.670087704,2.1e-06,1.0,1,2028-06
83,1.0138673307184178,4055.4693228736714,4823884.200764831,2.1e-06,0.1,2,2028-07
84,1.0130156821606144,4052.062728642458,4819832.138036189,2.1e-06,0.1,2,2028-07
85,1.0121647489875996,4048.658995950398,4815783.479040238,2.1e-06,0.1,1,2028-08
86,6.0678871835907,24271.548734362797,4791511.930305875,2.1e-06,0.6,1,2028-09
87,1.0062175053642337,4024.870021456935,4787487.060284418,2.1e-06,0.1,2,2028-10
88,1.0053722826597278,4021.4891306389113,4783465.5711537795,2.1e-06,0.1,2,2028-10
89,1.0045277699422936,4018.1110797691745,4779447.46007401,2.1e-06,0.1,2,2028-11
90,1.0036839666155422,4014.735866462169,4775432.724207548,2.1e-06,0.1,2,2028-11
91,1.002840872083585,4011.36348833434,4771421.360719214,2.1e-06,0.1,2,2028-12
92,1.001998485751035,4007.9939430041395,4767413.36677621,2.1e-06,0.1,2,2028-12
93,6.006940842138024,24027.763368552096,4743385.603407658,2.1e-06,0.6,1,2029-01
94,5.9766658602936475,23906.66344117459,4719478.939966483,2.1e-06,0.6,2,2029-02
95,5.9465434643577675,23786.17385743107,4695692.766109052,2.1e-06,0.6,2,2029-02
96,0.9860954808829009,3944.3819235316037,4691748.384185521,2.1e-06,0.1,3,2029-03
97,0.9852671606789594,3941.0686427158375,4687807.315542805,2.1e-06,0.1,3,2029-03
98,0.9844395362639891,3937.7581450559564,4683869.557397749,2.1e-06,0.1,3,2029-03
99,0.9836126070535273,3934.4504282141093,4679935.106969535,2.1e-06,0.1,3,2029-04
100,0.9827863724636023,3931.1454898544093,4676003.961479681,2.1e-06,0.1,3,2029-04
101,0.9819608319107328,3927.8433276429314,4672076.118152037,2.1e-06,0.1,3,2029-04
102,0.9811359848119278,3924.543939247711,4668151.57421279,2.1e-06,0.1,3,2029-05
103,0.9803118305846857,3921.247322338743,4664230.326890451,2.1e-06,0.1,3,2029-05
104,0.9794883686469946,3917.9534745879787,4660312.373415863,2.1e-06,0.1,3,2029-05
105,0.9786655984173311,3914.6623936693245,4656397.711022194,2.1e-06,0.1,4,2029-06
106,0.9778435193146606,3911.3740772586425,4652486.336944935,2.1e-06,0.1,4,2029-06
107,0.9770221307584364,3908.0885230337453,4648578.248421901,2.1e-06,0.1,4,2029-06
108,0.9762014321685991,3904.8057286743965,4644673.442693227,2.1e-06,0.1,4,2029-06
109,0.9753814229655776,3901.5256918623104,4640771.917001365,2.1e-06,0.1,4,2029-07
110,0.9745621025702866,3898.2484102811463,4636873.668591084,2.1e-06,0.1,4,2029-07
111,0.9737434704041276,3894.9738816165104,4632978.694709468,2.1e-06,0.1,4,2029-07
112,0.9729255258889881,3891.7021035559524,4629086.992605912,2.1e-06,0.1,4,2029-07
113,5.832649610683448,23330.59844273379,4605756.394163177,2.1e-06,0.6,2,2029-08
114,5.803253056645603,23213.01222658241,4582543.381936595,2.1e-06,0.6,2,2029-08
115,8.17983993675682,32719.359747027283,4549824.022189568,2.1e-06,0.85,3,2029-09
116,8.121435879608377,32485.743518433508,4517338.278671134,2.1e-06,0.85,3,2029-09
117,8.063448827427973,32253.79530971189,4485084.483361422,2.1e-06,0.85,3,2029-09
118,3.2965370952706445,13186.148381082578,4471898.33498034,2.1e-06,0.35,3,2029-10
119,3.286845276210549,13147.381104842196,4458750.953875498,2.1e-06,0.35,3,2029-10
120,3.2771819510984908,13108.727804393962,4445642.226071104,2.1e-06,0.35,3,2029-10
121,3.267547036162261,13070.188144649044,4432572.037926455,2.1e-06,0.35,3,2029-11
122,3.257940447875944,13031.761791503775,4419540.276134951,2.1e-06,0.35,3,2029-11
123,3.2483621029591885,12993.448411836755,4406546.827723114,2.1e-06,0.35,3,2029-11
124,3.238811918376488,12955.247673505952,4393591.580049608,2.1e-06,0.35,3,2029-12
125,3.2292898113364616,12917.159245345847,4380674.420804262,2.1e-06,0.35,3,2029-12
126,3.219795699291132,12879.182797164529,4367795.2380070975,2.1e-06,0.35,3,2029-12
127,0.9172369999814904,3668.947999925962,4364126.290007171,2.1e-06,0.1,4,2030-01
128,0.9164665209015059,3665.866083606024,4360460.423923565,2.1e-06,0.1,4,2030-01
129,0.9156966890239486,3662.7867560957943,4356797.63716747,2.1e-06,0.1,4,2030-01
130,0.9149275038051686,3659.7100152206744,4353137.927152249,2.1e-06,0.1,4,2030-01
131,0.9141589647019723,3656.6358588078892,4349481.291293441,2.1e-06,0.1,3,2030-02
132,0.9133910711716227,3653.5642846864907,4345827.727008754,2.1e-06,0.1,3,2030-02
133,0.9126238226718384,3650.4952906873536,4342177.231718067,2.1e-06,0.1,3,2030-02
134,3.191500265312779,12766.001061251116,4329411.230656816,2.1e-06,0.35,3,2030-03
135,3.1821172545327587,12728.469018131034,4316682.761638684,2.1e-06,0.35,3,2030-03
136,3.1727618298044327,12691.04731921773,4303991.714319467,2.1e-06,0.35,3,2030-03
137,3.1634339100248074,12653.73564009923,4291337.978679367,2.1e-06,0.35,3,2030-04
138,3.1541334143293343,12616.533657317337,4278721.44502205,2.1e-06,0.35,3,2030-04
139,3.1448602620912065,12579.441048364826,4266142.003973685,2.1e-06,0.35,3,2030-04
140,8.958898208344738,35835.592833378956,4230306.411140306,2.1e-06,1.0,1,2030-05
141,8.883643463394641,35534.573853578564,4194771.8372867275,2.1e-06,1.0,2,2030-06
142,8.809020858302127,35236.08343320851,4159535.753853519,2.1e-06,1.0,2,2030-06
143,0.8735025083092389,3494.0100332369557,4156041.743820282,2.1e-06,0.1,2,2030-07
144,0.8727687662022592,3491.0750648090366,4152550.668755473,2.1e-06,0.1,2,2030-07
145,0.8720356404386493,3488.1425617545974,4149062.5261937184,2.1e-06,0.1,2,2030-08
146,0.8713031305006809,3485.2125220027233,4145577.3136717156,2.1e-06,0.1,2,2030-08
147,0.8705712358710603,3482.2849434842415,4142095.0287282313,2.1e-06,0.1,3,2030-09
148,0.8698399560329286,3479.3598241317145,4138615.6689040996,2.1e-06,0.1,3,2030-09
149,0.869109290469861,3476.437161879444,4135139.23174222,2.1e-06,0.1,3,2030-09
150,0.8683792386658662,3473.5169546634647,4131665.7147875563,2.1e-06,0.1,4,2030-10
151,0.8676498001053867,3470.599200421547,4128195.115587135,2.1e-06,0.1,4,2030-10
152,0.8669209742732984,3467.6838970931935,4124727.4316900414,2.1e-06,0.1,4,2030-10
153,0.8661927606549087,3464.771042619635,4121262.6606474216,2.1e-06,0.1,4,2030-10
154,0.8654651587359585,3461.860634943834,4117800.8000124777,2.1e-06,0.1,4,2030-11
155,0.8647381680026203,3458.952672010481,4114341.8473404674,2.1e-06,0.1,4,2030-11
