real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
1,36.54,146160.0,8553840.0,4.2e-06,1.0,1,2024-01
2,35.926128,143704.512,8410135.488,4.2e-06,1.0,1,2024-02
3,35.3225690496,141290.27619839998,8268845.2118016,4.2e-06,1.0,1,2024-03
4,34.72914988956671,138916.59955826684,8129928.612243333,4.2e-06,1.0,1,2024-04
5,34.14570017142199,136582.80068568798,7993345.811557645,4.2e-06,1.0,1,2024-05
6,33.572052408542106,134288.20963416842,7859057.601923477,4.2e-06,1.0,1,2024-06
7,33.0080419280786,132032.1677123144,7727025.434211163,4.2e-06,1.0,1,2024-07
8,32.45350682368688,129814.02729474752,7597211.406916415,4.2e-06,1.0,1,2024-08
9,31.90828790904894,127633.15163619576,7469578.25528022,4.2e-06,1.0,1,2024-09
10,31.37222867217692,125488.91468870768,7344089.340591513,4.2e-06,1.0,1,2024-10
11,30.84517523048435,123380.7009219374,7220708.639669575,4.2e-06,1.0,1,2024-11
12,30.32697628661221,121307.90514644884,7099400.734523126,4.2e-06,1.0,1,2024-12
13,26.835734776497414,107342.93910598966,6992057.7954171365,4.2e-06,0.9,2,2025-01
14,26.429978466676776,105719.91386670711,6886337.881550429,4.2e-06,0.9,2,2025-01
15,28.9226191025118,115690.4764100472,6770647.405140382,4.2e-06,1.0,1,2025-02
16,28.436719101589603,113746.87640635841,6656900.528734024,4.2e-06,1.0,2,2025-03
17,27.9589822206829,111835.92888273159,6545064.599851292,4.2e-06,1.0,2,2025-03
18,27.489271319375423,109957.0852775017,6435107.51457379,4.2e-06,1.0,1,2025-04
19,27.027451561209915,108109.80624483967,6326997.70832895,4.2e-06,1.0,1,2025-05
20,23.91605133748343,95664.20534993372,6231333.502979017,4.2e-06,0.9,2,2025-06
21,23.554440641260683,94217.76256504274,6137115.740413974,4.2e-06,0.9,2,2025-06
22,25.77588610973869,103103.54443895476,6034012.19597502,4.2e-06,1.0,1,2025-07
23,25.34285122309508,101371.40489238032,5932640.791082639,4.2e-06,1.0,1,2025-08
24,24.917091322547083,99668.36529018833,5832972.425792451,4.2e-06,1.0,1,2025-09
25,24.49848418832829,97993.93675331316,5734978.489039138,4.2e-06,1.0,1,2025-10
26,24.086909653964376,96347.6386158575,5638630.85042328,4.2e-06,1.0,1,2025-11
27,23.682249571777774,94728.9982871111,5543901.852136169,4.2e-06,1.0,1,2025-12
28,23.284387778971904,93137.55111588762,5450764.301020281,4.2e-06,1.0,1,2026-01
29,20.603889057856662,82415.55623142664,5368348.744788854,4.2e-06,0.9,2,2026-02
30,20.292358255301867,81169.43302120747,5287179.311767647,4.2e-06,0.9,2,2026-02
31,22.206153109424115,88824.61243769646,5198354.699329951,4.2e-06,1.0,1,2026-03
32,21.83308973718579,87332.35894874316,5111022.340381208,4.2e-06,1.0,1,2026-04
33,21.46629382960107,85865.17531840429,5025157.165062804,4.2e-06,1.0,1,2026-05
34,21.105660093263772,84422.6403730551,4940734.524689749,4.2e-06,1.0,1,2026-06
35,18.67597650332725,74703.906013309,4866030.61867644,4.2e-06,0.9,2,2026-07
36,18.39359573859694,73574.38295438775,4792456.235722052,4.2e-06,0.9,2,2026-07
37,16.102652952026094,64410.611808104375,4728045.6239139475,4.2e-06,0.8,3,2026-08
38,15.886233296350861,63544.933185403446,4664500.690728544,4.2e-06,0.8,3,2026-08
39,15.672722320847909,62690.88928339163,4601809.801445153,4.2e-06,0.8,3,2026-08
40,17.394841049462674,69579.3641978507,4532230.437247302,4.2e-06,0.9,2,2026-09
41,17.1318310527948,68527.3242111792,4463703.113036123,4.2e-06,0.9,2,2026-09
42,18.747553074751714,74990.21229900686,4388712.900737116,4.2e-06,1.0,3,2026-10
43,18.432594183095887,73730.37673238355,4314982.524004732,4.2e-06,1.0,3,2026-10
44,18.122926600819873,72491.70640327949,4242490.817601453,4.2e-06,1.0,3,2026-10
45,16.03661529053349,64146.46116213396,4178344.3564393185,4.2e-06,0.9,3,2026-11
46,15.794141667340623,63176.566669362495,4115167.789769956,4.2e-06,0.9,3,2026-11
47,15.555334245330434,62221.336981321736,4052946.452788634,4.2e-06,0.9,3,2026-11
48,17.022375101712264,68089.50040684905,3984856.952381785,4.2e-06,1.0,3,2026-12
49,16.736399200003497,66945.59680001398,3917911.355581771,4.2e-06,1.0,3,2026-12
50,16.455227693443437,65820.91077377375,3852090.4448079974,4.2e-06,1.0,3,2026-12
51,16.178779868193587,64715.11947277435,3787375.325335223,4.2e-06,1.0,3,2027-01
52,15.906976366407935,63627.90546563174,3723747.4198695915,4.2e-06,1.0,3,2027-01
53,15.639739163452283,62558.95665380913,3661188.4632157823,4.2e-06,1.0,3,2027-01
54,13.839292390955656,55357.16956382262,3605831.29365196,4.2e-06,0.9,4,2027-02
55,13.630042290004408,54520.16916001763,3551311.124491942,4.2e-06,0.9,4,2027-02
56,13.42395605057954,53695.82420231816,3497615.300289624,4.2e-06,0.9,4,2027-02
57,13.220985835094776,52883.943340379104,3444731.3569492446,4.2e-06,0.9,4,2027-02
58,11.574297359349462,46297.18943739785,3398434.167511847,4.2e-06,0.8,4,2027-03
59,11.418738802839805,45674.95521135922,3352759.212300488,4.2e-06,0.8,4,2027-03
60,11.265270953329638,45061.08381331855,3307698.1284871693,4.2e-06,0.8,4,2027-03
61,11.113865711716889,44455.46284686755,3263242.6656403015,4.2e-06,0.8,4,2027-03
62,9.593933436982486,38375.733747929946,3224866.9318923717,4.2e-06,0.7000000000000001,5,2027-04
63,9.481108779763572,37924.43511905429,3186942.4967733175,4.2e-06,0.7000000000000001,5,2027-04
64,9.369610940513553,37478.443762054216,3149464.0530112633,4.2e-06,0.7000000000000001,5,2027-04
65,9.259424315853114,37037.697263412454,3112426.3557478506,4.2e-06,0.7000000000000001,5,2027-04
66,9.15053348589868,36602.13394359472,3075824.221804256,4.2e-06,0.7000000000000001,5,2027-04
67,7.751077038946725,31004.3081557869,3044819.9136484694,4.2e-06,0.6000000000000001,5,2027-05
68,7.672946182394143,30691.78472957657,3014128.1289188927,4.2e-06,0.6000000000000001,5,2027-05
69,7.59560288487561,30382.41153950244,2983745.7173793903,4.2e-06,0.6000000000000001,5,2027-05
70,7.519039207796063,30076.156831184253,2953669.560548206,4.2e-06,0.6000000000000001,5,2027-05
71,7.443247292581479,29772.989170325916,2923896.57137788,4.2e-06,0.6000000000000001,5,2027-05
72,8.596255919850966,34385.023679403865,2889511.547698476,4.2e-06,0.7000000000000001,5,2027-06
73,8.495163950233518,33980.65580093407,2855530.891897542,4.2e-06,0.7000000000000001,5,2027-06
74,8.395260822178773,33581.0432887151,2821949.8486088268,4.2e-06,0.7000000000000001,5,2027-06
75,8.296532554909952,33186.13021963981,2788763.718389187,4.2e-06,0.7000000000000001,5,2027-06
76,8.19896533206421,32795.86132825684,2755967.85706093,4.2e-06,0.7000000000000001,5,2027-06
77,9.260051999724725,37040.2079988989,2718927.6490620314,4.2e-06,0.8,5,2027-07
78,9.135596900848425,36542.3876033937,2682385.2614586377,4.2e-06,0.8,5,2027-07
79,9.012814478501022,36051.25791400409,2646334.0035446337,4.2e-06,0.8,5,2027-07
80,8.891682251909968,35566.72900763987,2610767.274536994,4.2e-06,0.8,5,2027-07
81,8.772178042444299,35088.712169777195,2575678.5623672167,4.2e-06,0.8,5,2027-07
82,9.73606496574808,38944.259862992316,2536734.3025042242,4.2e-06,0.9,4,2027-08
83,9.588855663465967,38355.42265386387,2498378.8798503606,4.2e-06,0.9,4,2027-08
84,9.443872165834362,37775.48866333745,2460603.391187023,4.2e-06,0.9,4,2027-08
85,9.301080818686945,37204.32327474778,2423399.067912275,4.2e-06,0.9,4,2027-08
86,10.178276085231554,40713.10434092621,2382685.9635713487,4.2e-06,1.0,3,2027-09
87,10.007281046999664,40029.124187998656,2342656.83938335,4.2e-06,1.0,3,2027-09
88,9.83915872541007,39356.634901640275,2303300.2044817097,4.2e-06,1.0,3,2027-09
89,9.67386085882318,38695.44343529272,2264604.761046417,4.2e-06,1.0,3,2027-10
90,9.51133999639495,38045.3599855798,2226559.4010608373,4.2e-06,1.0,3,2027-10
91,9.351549484455516,37406.197937822064,2189153.2031230154,4.2e-06,1.0,3,2027-10
92,9.194443453116664,36777.77381246666,2152375.4293105486,4.2e-06,1.0,2,2027-11
93,9.039976803104302,36159.90721241721,2116215.5220981315,4.2e-06,1.0,2,2027-11
94,8.888105192812152,35552.42077124861,2080663.1013268828,4.2e-06,1.0,3,2027-12
95,8.738785025572907,34955.14010229163,2045707.9612245911,4.2e-06,1.0,3,2027-12
96,8.591973437143283,34367.89374857313,2011340.067476018,4.2e-06,1.0,3,2027-12
97,4.223814141699638,16895.25656679855,1994444.8109092196,2.1e-06,1.0,2,2028-01
98,4.18833410290936,16753.336411637443,1977691.474497582,2.1e-06,1.0,2,2028-01
99,4.153152096444922,16612.608385779688,1961078.8661118024,2.1e-06,1.0,1,2028-02
100,4.118265618834784,16473.06247533914,1944605.8036364634,2.1e-06,1.0,2,2028-03
101,4.083672187636573,16334.688750546291,1928271.1148859172,2.1e-06,1.0,2,2028-03
102,3.644432407134383,14577.729628537532,1913693.3852573796,2.1e-06,0.9,2,2028-04
103,3.616880498136447,14467.521992545788,1899225.8632648338,2.1e-06,0.9,2,2028-04
104,3.190699450284921,12762.797801139683,1886463.065463694,2.1e-06,0.8,3,2028-05
105,3.1692579499790057,12677.031799916023,1873786.033663778,2.1e-06,0.8,3,2028-05
106,3.147960536555147,12591.842146220588,1861194.1915175575,2.1e-06,0.8,3,2028-05
107,2.7359554615308097,10943.821846123239,1850250.3696714342,2.1e-06,0.7000000000000001,3,2028-06
108,2.719868043417008,10879.472173668033,1839370.8974977662,2.1e-06,0.7000000000000001,3,2028-06
109,2.703875219321716,10815.500877286864,1828555.3966204794,2.1e-06,0.7000000000000001,3,2028-06
110,2.3039797997418043,9215.919198967218,1819339.4774215121,2.1e-06,0.6000000000000001,4,2028-07
111,2.2923677415511055,9169.470966204422,1810170.0064553076,2.1e-06,0.6000000000000001,4,2028-07
112,2.2808142081336875,9123.25683253475,1801046.749622773,2.1e-06,0.6000000000000001,4,2028-07
113,2.269318904524694,9077.275618098776,1791969.4740046742,2.1e-06,0.6000000000000001,4,2028-07
114,1.8815679477049083,7526.271790819634,1784443.2022138545,2.1e-06,0.5000000000000001,4,2028-08
115,1.8736653623245476,7494.661449298191,1776948.5407645563,2.1e-06,0.5000000000000001,4,2028-08
116,1.8657959678027844,7463.183871211138,1769485.356893345,2.1e-06,0.5000000000000001,4,2028-08
117,1.8579596247380126,7431.83849895205,1762053.518394393,2.1e-06,0.5000000000000001,4,2028-08
118,2.2201874331769353,8880.749732707742,1753172.7686616853,2.1e-06,0.6000000000000001,3,2028-09
119,2.2089976885137235,8835.990754054894,1744336.7779076304,2.1e-06,0.6000000000000001,3,2028-09
120,2.1978643401636146,8791.457360654458,1735545.320546976,2.1e-06,0.6000000000000001,3,2028-09
121,2.5512516212040546,10205.006484816218,1725340.3140621597,2.1e-06,0.7000000000000001,3,2028-10
122,2.5362502616713747,10145.001046685498,1715195.3130154742,2.1e-06,0.7000000000000001,3,2028-10
123,2.5213371101327473,10085.34844053099,1705109.9645749433,2.1e-06,0.7000000000000001,3,2028-10
124,2.1484385553644287,8593.754221457715,1696516.2103534855,2.1e-06,0.6000000000000001,4,2028-11
125,2.137610425045392,8550.441700181567,1687965.768653304,2.1e-06,0.6000000000000001,4,2028-11
126,2.126836868503163,8507.347474012653,1679458.4211792913,2.1e-06,0.6000000000000001,4,2028-11
127,2.116117610685907,8464.470442743628,1670993.9507365476,2.1e-06,0.6000000000000001,4,2028-11
128,1.7545436482733752,7018.1745930935,1663975.776143454,2.1e-06,0.5000000000000001,5,2028-12
129,1.747174564950627,6988.698259802508,1656987.0778836515,2.1e-06,0.5000000000000001,5,2028-12
130,1.7398364317778343,6959.3457271113375,1650027.73215654,2.1e-06,0.5000000000000001,5,2028-12
131,1.7325291187643672,6930.116475057469,1643097.6156814825,2.1e-06,0.5000000000000001,5,2028-12
132,1.725252496465557,6901.009985862228,1636196.6056956202,2.1e-06,0.5000000000000001,5,2028-12
133,1.3744051487843212,5497.620595137285,1630698.9851004828,2.1e-06,0.40000000000000013,5,2029-01
134,1.3697871474844059,5479.148589937624,1625219.836510545,2.1e-06,0.40000000000000013,5,2029-01
135,1.3651846626688582,5460.738650675433,1619759.0978598697,2.1e-06,0.40000000000000013,5,2029-01
136,1.3605976422022907,5442.390568809163,1614316.7072910606,2.1e-06,0.40000000000000013,5,2029-01
137,1.3560260341244912,5424.104136497965,1608892.6031545626,2.1e-06,0.40000000000000013,5,2029-01
138,1.6893372333122911,6757.3489332491645,1602135.2542213134,2.1e-06,0.5000000000000001,5,2029-02
139,1.6822420169323793,6728.968067729517,1595406.2861535838,2.1e-06,0.5000000000000001,5,2029-02
140,1.6751766004612632,6700.706401845053,1588705.5797517388,2.1e-06,0.5000000000000001,5,2029-02
141,1.668140858739326,6672.563434957304,1582033.0163167815,2.1e-06,0.5000000000000001,5,2029-02
142,1.6611346671326208,6644.538668530483,1575388.477648251,2.1e-06,0.5000000000000001,5,2029-02
143,1.9849894818367964,7939.957927347185,1567448.5197209038,2.1e-06,0.6000000000000001,5,2029-03
144,1.974985134848339,7899.940539393356,1559548.5791815105,2.1e-06,0.6000000000000001,5,2029-03
145,1.9650312097687033,7860.124839074813,1551688.4543424356,2.1e-06,0.6000000000000001,5,2029-03
146,1.955127452471469,7820.509809885876,1543867.9445325497,2.1e-06,0.6000000000000001,5,2029-03
147,1.9452736101110126,7781.094440444051,1536086.8500921056,2.1e-06,0.6000000000000001,5,2029-03
148,2.258047669635395,9032.19067854158,1527054.659413564,2.1e-06,0.7000000000000001,4,2029-04
149,2.244770349337939,8979.081397351756,1518075.5780162122,2.1e-06,0.7000000000000001,4,2029-04
